new_bos,locked
1,1
2,1
3,1
4,1
5,0
8,1
9,0
10,1
11,1
13,1
15,1
16,1
17,0
18,1
20,1
22,1
24,1
29,1
30,1
31,1
32,1
33,1
34,0
38,0
39,1
40,1
43,1
45,1
46,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
62,1
63,1
65,1
66,0
68,1
69,1
71,1
73,1
74,1
75,1
76,0
77,1
79,0
80,1
82,1
84,1
85,1
87,1
89,0
93,0
94,1
97,1
98,1
99,1
102,1
103,1
104,1
105,1
107,1
109,1
111,1
114,1
117,1
118,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,1
130,1
131,1
132,0
134,0
135,0
136,1
137,1
138,1
140,0
141,1
142,1
144,1
145,1
148,1
149,1
150,1
152,0
153,1
155,1
158,0
160,1
162,1
164,0
167,1
168,1
169,1
170,1
172,0
174,1
175,1
176,0
177,1
180,1
182,1
183,1
185,1
187,1
191,1
194,1
195,1
203,1
205,1
206,1
207,1
208,1
209,1
211,1
212,1
215,1
218,1
219,1
220,1
223,1
225,1
272,1
361,0
363,0
367,0
368,1
369,0
370,1
373,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,0
392,1
394,1
395,1
396,1
397,0
398,1
399,1
400,0
401,1
406,0
407,1
408,1
410,1
411,1
416,1
417,1
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,1
431,1
432,1
433,1
436,1
438,1
439,1
440,1
445,1
449,0
450,1
451,1
453,1
454,1
455,1
456,1
459,1
460,1
461,1
463,0
464,1
465,1
467,1
469,0
475,1
487,1
489,1
500,1
505,1
522,1
524,1
529,1
531,1
532,1
539,1
552,1
553,1
554,1
555,1
557,1
563,1
576,1
582,1
602,1
603,1
604,0
605,1
609,1
615,1
620,1
622,1
628,1
630,1
632,1
640,1
641,1
644,1
645,1
646,0
654,1
655,1
659,1
661,1
667,1
668,1
671,1
690,1
707,1
710,0
716,0
719,1
722,1
724,1
728,1
731,1
732,1
733,1
735,1
741,1
744,1
746,0
747,1
748,1
753,1
754,1
755,1
759,0
761,0
765,1
769,1
771,1
772,1
777,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
801,0
802,1
803,1
804,1
807,1
809,1
812,1
813,1
814,0
815,1
821,1
824,0
831,1
832,1
833,1
834,1
835,1
837,1
838,1
841,1
842,1
846,1
853,1
858,1
865,1
867,1
868,0
869,0
870,1
874,1
879,0
885,1
886,1
887,0
889,1
890,1
892,0
896,1
897,1
899,1
903,1
906,1
908,1
912,1
913,1
914,0
917,1
918,1
919,1
920,1
921,0
922,0
925,0
926,1
944,1
945,1
948,1
950,1
951,1
958,0
964,1
965,1
966,1
967,1
969,1
971,0
974,1
975,1
977,1
978,1
979,1
985,1
988,1
1000,0
1003,1
1006,0
1007,1
1011,1
1012,1
1013,0
1015,1
1018,1
1019,1
1020,1
1022,0
1024,0
1026,0
1027,1
1028,1
1034,0
1037,1
1038,1
1045,1
1046,1
1053,1
1058,1
1059,0
1060,1
1062,1
1063,1
1066,1
1068,1
1069,1
1070,1
1071,0
1072,1
1074,1
1075,1
1081,0
1082,1
1084,0
1085,1
1087,1
1088,0
1095,1
1096,0
1097,1
1105,1
1109,1
1110,1
1111,1
1112,1
1115,1
1116,1
1118,1
1123,1
1125,1
1131,1
1148,0
1152,0
1153,1
1154,1
1155,1
1159,0
1162,1
1163,1
1165,0
1167,1
1173,1
1178,1
1185,1
1189,0
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1199,1
1200,1
1204,0
1205,0
1208,1
1209,1
1217,1
1218,1
1220,0
1221,1
1226,0
1229,1
1230,1
1232,1
1236,1
1240,1
1244,1
1245,1
1251,1
1254,1
1256,1
1257,1
1263,1
1264,1
1265,1
1268,1
1269,1
1270,1
1273,1
1280,1
1281,1
1286,0
1287,1
1289,1
1293,1
1297,1
1298,1
1299,1
1310,1
1311,1
1312,1
1313,1
1315,1
1322,1
1334,1
1336,1
1338,1
1345,1
1347,1
1348,1
1350,1
1356,1
1365,1
1367,1
1368,0
1376,0
1385,1
1390,1
1392,1
1393,1
1395,1
1398,1
1400,1
1402,1
1403,1
1411,1
1413,1
1415,1
1421,1
1425,1
1428,1
1429,1
1431,1
1447,1
1452,0
1455,1
1458,1
1461,1
1462,1
1464,1
1466,1
1467,1
1468,1
1471,1
1474,1
1475,1
1483,0
1484,1
1488,1
1491,1
1493,1
1498,1
1499,1
1503,1
1504,1
1507,1
1511,1
1515,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,1
1528,1
1537,1
1538,1
1539,1
1540,1
1541,1
1544,1
1545,1
1548,1
1557,1
1558,0
1561,1
1570,1
1571,1
1572,1
1573,1
1577,1
