COM_ACCOUNT#,,COM_COMPANYNAME,,,,COM_LOCKAR,COM_FINANCEDAYS,,AR_TOTAL,,AR_PAID,,Balance,,,L/U,,ML
5.00,,DENNIS BOERTJE & SONS DAIRY,,,,Y,1,"1,000.65",,,"1,000.65",,0.00,,,,,
9.00,,"BOER COMMODITIES, INC.",,,,,30,"944,796.11",,,"911,768.83",,"33,027.28",,,,,
17.00,,BROWNS DAIRY,,,,Y,45,0.00,,,0.00,,0.00,,,,Y,Y
20.00,,CAL BY-PRODUCTS,,,,,40,"506,530.70",,,"506,530.70",,0.00,,,,,
34.00,,CASE DE JONG DAIRY,,,,Y,40,"41,008.57",,,"29,959.85",,"11,048.72",,,,Y,
38.00,,"COWLIFORNIA DAIRY, LLC",,,,,45,"123,458.50",,,"117,043.17",,"6,415.33",,,,,
66.00,,DOUBLE J DAIRY,,,,,40,"182,949.70",,,"182,949.70",,0.00,,,,,
79.00,,QUALITY GRAIN,,,,,30,"1,503,957.79",,,"1,503,957.79",,0.00,,,,,
111.00,,SELEY & COMPANY,,,,Y,40,"918,564.02",,,"910,200.11",,"8,363.91",,,,Y,
127.00,,SUPERIOR CATTLE,,,,Y,40,"1,195,602.44",,,"1,195,602.44",,0.00,,,,Y,Y
130.00,,PENNY-NEWMAN GRAIN CO.,,,,Y,30,"1,930,365.13",,,"1,742,052.78",,"188,312.35",,,,Y,
134.00,,VAN BEEK BROS. DAIRY,,,,,45,"4,891.92",,,"4,891.92",,0.00,,,,,
135.00,,SHADY ACRES DAIRY,,,,,1,"52,024.29",,,"52,024.29",,0.00,,,,,
158.00,,VISTA VERDE DAIRY,,,,,40,"235,053.57",,,"235,053.57",,0.00,,,,,
164.00,,"WARMERDAM DAIRY, INC.",,,,,40,"-11,869.37",,,"-11,869.37",,0.00,,,,,
172.00,,A. J. B. RANCH,,,,Y,40,"1,807,527.82",,,"1,779,593.03",,"27,934.79",,,,Y,
176.00,,"ARIZONA GRAIN, INC.",,,,,40,"243,825.40",,,"243,825.40",,0.00,,,,,
361.00,,WILBUR-ELLIS COMPANY/FRESNO,,,,,30,"12,890.25",,,"12,890.25",,0.00,,,,,
367.00,,BERNARD TEVELDE DAIRY #1,,,,,40,"72,351.30",,,"72,351.30",,0.00,,,,,
369.00,,LONE OAK FARMS,,,,,40,"2,581,847.79",,,"2,633,890.87",,"-52,043.08",,,,,
391.00,,A. L. GILBERT CO.,,,,,30,"680,823.94",,,"650,636.75",,"30,187.19",,,,,
397.00,,ASSOCIATED FEED & SUPPLY,,,,Y,30,"62,862.20",,,"62,862.20",,0.00,,,,Y,Y
400.00,,M.S. MONTEIRO & SON DAIRY,,,,,45,"6,819.34",,,"6,819.34",,0.00,,,,,
406.00,,J R DAIRY,,,,,40,"24,626.47",,,"24,626.47",,0.00,,,,,
418.00,,RICHARD WESTRA DAIRY,,,,,40,"10,558.84",,,"10,559.58",,-0.74,,,,,
426.00,,RIVER RANCH DAIRY,,,,,40,"255,814.15",,,"255,814.15",,0.00,,,,,
449.00,,FERNJO FARMS,,,,,40,"215,941.76",,,"188,343.41",,"27,598.35",,,,,
461.00,,"STILL WATER RANCH, LP",,,,,45,"1,166,033.26",,,"1,142,980.66",,"23,052.60",,,,,
469.00,,"SCOULAR GRAIN, INC.",,,,,45,"4,162,999.53",,,"3,998,612.71",,"164,386.82",,,,,
604.00,,DE JAGER FARMS SOUTH,,,,,40,"349,297.36",,,"483,815.00",,"-134,517.64",,,,,
644.00,,J.D. HEISKELL,,,,,30,"4,353,178.31",,,"4,213,781.27",,"139,397.04",,,,,
646.00,,HEIN HETTINGA DAIRY,,,,,45,"22,569.24",,,"22,699.41",,-130.17,,,,,
670.00,,CAMPOS BROTHERS,,,,Y,30,"10,400.00",,,"10,400.00",,0.00,,,,Y,
710.00,,MARVO HOLSTEINS DAIRY,,,,,40,"6,628.98",,,"6,628.98",,0.00,,,,,
716.00,,IMPERIAL WESTERN PRODUCTS,,,,,90,"-38,029.73",,,"-75,682.81",,"37,653.08",,,,,
753.00,,LOG HAVEN DAIRY,,,,Y,1,238.92,,,238.92,,0.00,,,,,
759.00,,SHIRK DAIRY,,,,,40,"5,253.96",,,"5,253.96",,0.00,,,,,
801.00,,LIBERTY VEGETABLE OIL CO.,,,,,30,"77,474.70",,,"77,474.70",,0.00,,,,,
814.00,,STAR MILLING,,,,,45,"324,444.22",,,"324,444.22",,0.00,,,,,
824.00,,VP FARMS,,,,,40,"96,764.64",,,"96,764.64",,0.00,,,,,
831.00,,B & D DAIRY / VISALIA,,,,Y,30,"66,565.78",,,"66,565.78",,0.00,,,,Y,
868.00,,BOS FARMS,,,,,40,"3,968,752.53",,,"3,866,641.24",,"102,111.29",,,,,
869.00,,CEREAL BY-PRODUCTS COMPANY,,,,,30,"12,488.40",,,"12,488.40",,0.00,,,,,
879.00,,ROB VAN GROUW DAIRY,,,,Y,40,"257,728.25",,,"212,002.84",,"45,725.41",,,,Y,
887.00,,TIVA DAIRY,,,,Y,40,"118,865.18",,,"111,967.13",,"6,898.05",,,,Y,
892.00,,RANCHO TERESITA DAIRY,,,,Y,45,"1,590,298.85",,,"1,472,488.54",,"117,810.31",,,,Y,
925.00,,RIVERBEND DAIRY,,,,,40,"2,597,454.29",,,"2,580,545.38",,"16,908.91",,,,,
958.00,,HOLLAND'S DAIRY,,,,,45,"1,905.33",,,"1,905.33",,0.00,,,,,
"1,006.00",,ARIZONA DAIRY COMPANY,,,,,30,"41,103.00",,,"41,575.50",,-472.50,,,,,
"1,026.00",,PINAL FEEDING COMPANY,,,,,40,"-17,346.80",,,"-17,346.80",,0.00,,,,,
"1,034.00",,VAN RIJN DAIRY,,,,,45,"54,069.46",,,"54,069.46",,0.00,,,,,
"1,071.00",,FRANK S. BROWN CO.,,,,,45,"152,867.94",,,"152,867.94",,0.00,,,,,
"1,084.00",,JIM BOOTSMA DAIRY,,,,,40,"7,647.49",,,"7,647.49",,0.00,,,,,
"1,088.00",,DYKSTRA DAIRY,,,,,45,"79,808.40",,,"79,808.40",,0.00,,,,,
"1,096.00",,STOTZ DAIRY,,,,,40,"2,820,997.63",,,"2,567,777.17",,"253,220.46",,,,,
"1,148.00",,JOHN BOOTSMA DAIRY,,,,,40,"173,905.23",,,"173,905.23",,0.00,,,,,
"1,152.00",,TIEMERSMA DAIRY,,,,,45,"48,566.73",,,"48,566.73",,0.00,,,,,
"1,159.00",,HOLLANDIA FARMS INC.,,,,,40,"241,657.32",,,"241,657.32",,0.00,,,,,
"1,204.00",,FELICITA DAIRY,,,,,45,"55,844.27",,,"209,918.40",,"-154,074.13",,,,,
"1,220.00",,SUNRISE DAIRY,,,,,30,"74,055.51",,,"74,055.51",,0.00,,,,,
"1,226.00",,FRED RAU DAIRY INC.,,,,,30,"20,938.00",,,"20,938.00",,0.00,,,,,
"1,286.00",,ALBERT MENDES DAIRY,,,,Y,40,"1,683,306.05",,,"1,594,328.38",,"88,977.67",,,,Y,
"1,368.00",,ANDY DYT DAIRY,,,,,40,"1,196,366.15",,,"1,125,604.46",,"70,761.69",,,,,
"1,376.00",,J.D. MELLO DAIRY,,,,,40,"3,122.18",,,"3,122.18",,0.00,,,,,
"1,452.00",,MARIE MINABERRY DAIRY,,,,,40,"212,097.18",,,"298,522.33",,"-86,425.15",,,,,
"1,541.00",,HARMSEN FAMILY DAIRY,,,,,40,"58,837.83",,,"58,837.83",,0.00,,,,,
"1,558.00",,B & E DAIRY,,,,,40,"220,349.81",,,"585,830.45",,"-365,480.64",,,,,
"1,586.00",,DESERT VIEW DAIRY,,,,,40,"15,450.76",,,"14,710.28",,740.48,,,,,
"1,592.00",,GOLDMAN DAIRY,,,,,30,"38,863.75",,,"38,863.75",,0.00,,,,,
"1,606.00",,MOUNTAIN SHADOW,,,,,45,"119,850.36",,,"119,850.36",,0.00,,,,,
"1,630.00",,MOIOLA BROS.CATTLE FEEDERS LTD,,,,,30,"233,302.34",,,"233,302.34",,0.00,,,,,
"1,640.00",,TRIPLE G DAIRY,,,,,40,"1,130,885.65",,,"1,111,277.59",,"19,608.06",,,,,
"1,656.00",,FOSTER MILLING INC,,,,,40,"714,101.90",,,"617,276.97",,"96,824.93",,,,,
"1,719.00",,GREEN ACRES DAIRY,,,,,45,"62,367.58",,,"62,367.58",,0.00,,,,,
"1,791.00",,LAMBCREST DAIRY **DO NOT SELL*,,,,Y,1,"102,935.98",,,"102,935.98",,0.00,,,,,Y
"1,866.00",,SCHEENSTRA DAIRY,,,,Y,40,"213,637.73",,,"148,128.08",,"65,509.65",,,,Y,
"1,913.00",,DIAS & DIAS DAIRY,,,,,40,0.00,,,0.00,,0.00,,,,,
"2,024.00",,DE BOER DAIRY,,,,Y,30,"41,495.66",,,"5,914.30",,"35,581.36",,,,Y,
"2,037.00",,ALIMENTOS Y PRODUCTOS/BEETPULP,,,,Y,30,"801,918.66",,,"801,918.66",,0.00,,,,Y,
"2,088.00",,OAKVIEW  DAIRY,,,,,30,"79,183.15",,,"77,144.21",,"2,038.94",,,,,
"2,114.00",,HAAGSMA-PINHEIRO DAIRY,,,,,30,"37,173.67",,,"37,173.67",,0.00,,,,,
"2,132.00",,NORTH CENTRAL COMPANIES,,,,Y,30,"972,162.86",,,"954,843.76",,"17,319.10",,,,Y,
"2,227.00",,POND HEIFER RANCH,,,,,40,"3,810.96",,,"3,810.96",,0.00,,,,,
"2,350.00",,PETE VANDERHAM,,,,,40,"72,766.84",,,"72,766.84",,0.00,,,,,
"2,416.00",,TJAARDA DAIRY,,,,,45,"50,856.96",,,"12,793.60",,"38,063.36",,,,,
"2,437.00",,"SOUZA DAIRY, INC.",,,,Y,45,"143,958.75",,,"97,085.61",,"46,873.14",,,,Y,
"2,504.00",,R.A. DAVIS COMMODITIES,,,,,30,"185,640.00",,,"185,640.00",,0.00,,,,,
